,column_i,column_j,solution_value
0,0,0,0.0
1,0,1,0.0
2,0,2,0.0
3,0,3,1.0
4,0,4,0.0
5,0,5,1.0
6,0,6,1.0
7,0,7,1.0
8,1,0,1.0
9,1,1,1.0
10,1,2,1.0
11,1,3,1.0
12,1,4,1.0
13,1,5,1.0
14,1,6,0.0
15,1,7,1.0
16,2,0,1.0
17,2,1,0.0
18,2,2,1.0
19,2,3,0.0
20,2,4,0.0
21,2,5,1.0
22,2,6,0.0
23,2,7,1.0
24,3,0,1.0
25,3,1,1.0
26,3,2,1.0
27,3,3,1.0
28,3,4,0.0
29,3,5,1.0
30,3,6,0.0
31,3,7,1.0
32,4,0,1.0
33,4,1,1.0
34,4,2,0.0
35,4,3,1.0
36,4,4,1.0
37,4,5,1.0
38,4,6,0.0
39,4,7,0.0
40,5,0,0.0
41,5,1,1.0
42,5,2,0.0
43,5,3,0.0
44,5,4,0.0
45,5,5,1.0
46,5,6,0.0
47,5,7,0.0
48,6,0,1.0
49,6,1,1.0
50,6,2,0.0
51,6,3,1.0
52,6,4,0.0
53,6,5,0.0
54,6,6,1.0
55,6,7,1.0
56,7,0,1.0
57,7,1,1.0
58,7,2,0.0
59,7,3,0.0
60,7,4,0.0
61,7,5,0.0
62,7,6,1.0
63,7,7,1.0
64,8,0,0.0
65,8,1,0.0
66,8,2,1.0
67,8,3,1.0
68,8,4,0.0
69,8,5,1.0
70,8,6,0.0
71,8,7,1.0
